#Table Description:
#name;id;x;y;z;type;texture;map_x;map_y
#######################################

TPchair;18160037;-59039;-61222;-2368;1;none;0;0
TPchair;18160038;-58941;-61126;-2366;1;none;0;0
TPchair;18160039;-61323;-61471;-2820;1;none;0;0
TPchair;18160040;-61455;-61509;-2821;1;none;0;0
TPchair;18160041;-55534;-64458;-2368;1;none;0;0
TPchair;18160042;-55531;-64615;-2370;1;none;0;0
gludio_castle_throne;19210010;-18112;108761;-2492;1;none;0;0
rune_castle_throne;20160010;10103;-49153;-272;1;none;0;0
darkelf_village_001;20180001;15258;15631;-4366;0;town_map_darkelf_t00;1;1
darkelf_village_002;20180002;7557;18055;-4366;0;town_map_darkelf_t00;1;1
dion_castle_throne;20220010;22073;160989;-2686;1;none;0;0
floran_arena_001;20230001;12110;182771;-3538;2;none;0;0
floran_arena_002;20230002;12979;183365;-3538;2;none;0;0
elf_village_001;21190001;47616;51349;-2968;0;town_map_elf_t00;1;1
elf_village_002;21190002;45915;46695;-2969;0;town_map_elf_t00;1;1
elf_village_003;21190003;43175;51424;-2968;0;town_map_elf_t00;1;1
schuttgart_castle_throne;22130016;77551;-153410;-389;1;none;0;0
aden_castle_throne;24180017;147456;3272;-42;1;none;0;0
oren_castle_throne;22190010;83237;37192;-2286;1;none;0;0
giran_arena_001;22220001;73766;142489;-3748;2;none;0;0
giran_arena_002;22220002;72200;143102;-3748;2;none;0;0
dwarven_village_001;23120001;115462;-177295;-880;0;town_map_dwarf_t00;1;1
dwarven_village_002;23120002;117450;-182299;-1488;0;town_map_dwarf_t00;1;1
dwarven_village_003;23120003;116657;-183997;-1550;0;town_map_dwarf_t00;1;1
giran_castle_throne;23220010;117161;145097;-2559;1;none;0;0
innadril_castle_throne;23250010;116024;249768;-782;1;none;0;0
goddard_castle_throne;24160024;147464;-49339;-2123;1;none;0;0
